ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText,color
1029.0,Bentley,ARNAGE,Arnage T,Arnage T,BENTLEY Arnage T,Limousine,6761,Basel,495 g/km,Occasion,G,20.6 l/100km,4,Hinterradantrieb,3,2006,Benzin,457,schwarz,15600,null,5,Automat,Silver
1060.0,Porsche,911,911 Turbo,911 Turbo,PORSCHE 911 Turbo,Coupé,3600,Zuzwil,309 g/km,Occasion,null,12.9 l/100km,2,Allrad,3,2003,Benzin,420,schwarz,94500,"\"Ab MFK\"",4,Automatik-Getriebe,Silver
1122.0,Audi,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,1,2010,Benzin,700,schwarz,15000,"\"Ab MFK\"",5,Automat sequentiell,White
121.0,Bentley,BROOKLANDS,Brooklands,Brooklands,BENTLEY Brooklands,Limousine,6749,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,3,1995,Benzin,245,null,39100,"\"Ab MFK\"",5,Automat,Blue
300.0,Mercedes-benz,S 500,S 500,S 500,MERCEDES-BENZ S 500,Limousine,4966,Zuzwil,299 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,9,1999,Benzin,299,schwarz,112800,"\"Ab MFK\"",5,Automat,Grey
347.0,Mercedes-benz,ML 63 AMG,ML 63 AMG 4Matic,ML 63 AMG 4Matic,MERCEDES-BENZ ML 63 AMG 4Matic,SUV / Geländewagen,6209,Zuzwil,392 g/km,Occasion,G,16.5 l/100km,5,Allrad,6,2012,Benzin,510,schwarz,2000,"\"Ab MFK\"",5,Automat sequentiell,Grey
353.0,Aston Martin,V12 Vanquish,Vanquish V12,Vanquish V12,ASTON MARTIN Vanquish V12,Coupé,5935,Zuzwil,396 g/km,Occasion,G,16.7 l/100km,2,Hinterradantrieb,1,2003,Benzin,470,beige,24600,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,Grey
424.0,Alfa Romeo,ALFASUD,Alfasud 1.5 ti,Alfasud 1.5 ti,ALFA ROMEO Alfasud 1.5 ti,Limousine,1490,Zuzwil,null,Occasion,null,null,3,Vorderradantrieb,8,1981,Benzin,95,mehrfarbig,81900,"\"Ab MFK\"",5,Schaltgetriebe manuell,Green
430.0,Mercedes-benz,SL 63 AMG,SL 63 AMG,SL 63 AMG,MERCEDES-BENZ SL 63 AMG,Cabriolet,6209,Zuzwil,328 g/km,Occasion,G,14.1 l/100km,2,Hinterradantrieb,1,2009,Benzin,525,schwarz,84000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,Green
436.0,Maserati,QUATTROPORTE,Quattroporte 4.2 Exec. GT,Quattroporte 4.2 Exec. GT,MASERATI Quattroporte 4.2 Exec. GT,Limousine,4244,Zuzwil,370 g/km,Occasion,G,15.8 l/100km,4,Hinterradantrieb,3,2006,Benzin,400,beige,33600,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,Orange
465.0,Ferrari,F430,F430,F430,FERRARI F430,Coupé,4308,Zuzwil,420 g/km,Occasion,G,18.3 l/100km,2,Hinterradantrieb,3,2007,Benzin,486,beige,45000,"\"Ab MFK\"",2,Automatik-Getriebe,Red
573.0,Mercedes-benz,B 200,B 200 T Sailing Edition,B 200 T Sailing Edition,MERCEDES-BENZ B 200 T Sailing Edition,Kompaktvan / Minivan,2035,Zuzwil,195 g/km,Occasion,G,8.1 l/100km,5,Vorderradantrieb,8,2006,Benzin,193,null,60500,"\"Ab MFK\"",5,Schaltgetriebe manuell,Black
584.0,Mercedes-benz,E 50 AMG,E 50 AMG Avantgarde,E 50 AMG Avantgarde,MERCEDES-BENZ E 50 AMG Avantgarde,Limousine,4973,Zuzwil,315 g/km,Occasion,null,13.5 l/100km,4,Hinterradantrieb,3,1997,Benzin,347,schwarz,70700,"\"Ab MFK\"",5,Automat,Black
589.0,BMW,2002,2002 Turbo,Turbo,BMW 2002 Turbo,Limousine,1990,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1974,Benzin,170,schwarz,134000,"\"Ab MFK\"",4,Schaltgetriebe manuell,Black
601.0,Aston Martin,V8 Vantage,V8 Vantage 4.3,V8 Vantage 4.3,ASTON MARTIN V8 Vantage 4.3,Coupé,4282,Zuzwil,358 g/km,Occasion,G,15.0 l/100km,2,Hinterradantrieb,7,2007,Benzin,385,schwarz,28800,"\"Ab MFK\"",2,Schaltgetriebe manuell,Black
654.0,Jeep,Grand Cherokee,Grand Cherokee 5.2 Ltd.,Grand Cherokee 5.2 Ltd.,JEEP Grand Cherokee 5.2 Ltd.,SUV / Geländewagen,5216,Zuzwil,380 g/km,Occasion,null,16.5 l/100km,5,Allrad,6,1997,Benzin,212,schwarz,61000,"\"Ab MFK\"",5,Automat,Black
659.0,Mercedes-benz,SL 600,SL 600,SL 600,MERCEDES-BENZ SL 600,Cabriolet,5513,Zuzwil,346 g/km,Occasion,G,14.4 l/100km,2,Hinterradantrieb,5,2003,Benzin,500,beige,13900,"\"Ab MFK\"",2,Automat,Black
718.0,Ferrari,456,456 GTA,456 GTA,FERRARI 456 GTA,Coupé,5474,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1996,Benzin,442,rot,52800,"\"Ab MFK\"",4,Automat,Black
773.0,Renault,ALPINE,Alpine A310 V6,Alpine A310 V6,RENAULT Alpine A310 V6,Coupé,2664,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,9,1983,Benzin,150,mehrfarbig,111990,"\"Ab MFK\"",4,Schaltgetriebe manuell,Black
777.0,BMW,M5,M5,M5,BMW M5,Limousine,4395,Zuzwil,232 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,3,2013,Benzin,560,braun,4600,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,Black
817.0,Porsche,911,911 GT3 CUP,GT3 CUP,PORSCHE 911 GT3 CUP,Coupé,3600,Zuzwil,null,Occasion,null,null,2,null,5,2000,Benzin,370,null,7000,"\"Ab MFK\", \"Tuning\"",0,Schaltgetriebe,Black
