ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
232.0,TOYOTA,MR2,MR2 2.0,MR2 2.0,TOYOTA MR2 2.0,gelb,Coupé,1997,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1990,Benzin,156,schwarz,135800,"\"Ab MFK\"",2,Schaltgetriebe manuell
333.0,MERCEDES-BENZ,SL 600,SL 600,SL 600,MERCEDES-BENZ SL 600,grau mét.,Cabriolet,5984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,1993,Benzin,394,grau,75900,"\"Ab MFK\"",2,Automat
467.0,PORSCHE,911,911 Carrera 4 Ruf Turbo BTR 2 420 PS,911 Carrera 4 Ruf Turbo BTR 2 420 PS,PORSCHE 911 Carrera 4 Ruf Turbo BTR 2 420 PS,rot,Coupé,3598,Zuzwil,null,Occasion,null,null,2,Allrad,4,1995,Benzin,272,grün,96000,"\"Ab MFK\"",4,Schaltgetriebe manuell
486.0,MERCEDES-BENZ,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,rot,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1993,Benzin,320,grau,117900,"\"Ab MFK\"",2,Automat
512.0,MERCEDES-BENZ,S 600,S 600,S 600,MERCEDES-BENZ S 600,schwarz,Coupé,5984,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1995,Benzin,394,braun,62000,"\"Ab MFK\"",4,Automat
582.0,MERCEDES-BENZ,ML 500,ML 500,ML 500,MERCEDES-BENZ ML 500,schwarz,SUV / Geländewagen,4966,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,2,2002,Benzin,292,grau,118000,"\"Ab MFK\"",5,Automat
627.0,PORSCHE,911,911 Targa,911 Targa,PORSCHE 911 Targa,schwarz mét.,Cabriolet,3600,Zuzwil,303 g/km,Occasion,null,12.8 l/100km,2,Hinterradantrieb,5,1997,Benzin,285,blau,74000,"\"Ab MFK\"",4,Schaltgetriebe manuell
667.0,MERCEDES-BENZ,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,schwarz mét.,Cabriolet,4966,Zuzwil,304 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,11,2001,Benzin,306,anthrazit,20500,"\"Ab MFK\"",2,Automat
682.0,MERCEDES-BENZ,SL 55 AMG,SL 55 AMG,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,schwarz mét.,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,4,2002,Benzin,476,beige,31200,"\"Ab MFK\"",2,Automat
810.0,JAGUAR,XK,XKR 5.0 V8 SC,XKR 5.0 V8 SC,JAGUAR XKR 5.0 V8 SC,schwarz mét.,Cabriolet,5000,Zuzwil,292 g/km,Occasion,G,12.5 l/100km,2,Hinterradantrieb,3,2009,Benzin,510,schwarz,49500,"\"Ab MFK\"",4,Automat sequentiell
