carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2000,77600,"",911,911 Carrera,"","","",9,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Nissan,1990,162900,"",200 SX,200 SX 1.8 16V Turbo,"","","",6,null
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2007,40300,"",S 65 AMG,S 65 AMG L,"","","",1,l_km_consumption
Coupé,Blue,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Maserati,2002,53000,"",COUPÉ GT,Coupé GT,"","","",6,l_km_consumption
Cabriolet,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,19200,"",SL 500,SL 500,"","","",3,l_km_consumption
Limousine,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2006,68800,"",S 65 AMG,S 65 AMG L,"","","",8,l_km_consumption
Coupé,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",Aston Martin,1998,97200,"",DB7,DB7,"","","",4,l_km_consumption
Limousine,Purple,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2000,14100,"",S 320,S 320,"","","",6,l_km_consumption
SUV / Geländewagen,Grey,Occasion,"",Automat,Zuzwil,"",Porsche,2008,28000,"",CAYENNE,Cayenne Turbo,"","","",8,l_km_consumption
Cabriolet,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2002,128000,"",911,911 Carrera Targa,"","","",1,l_km_consumption
Limousine,Grey,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,73900,"",S-CLASS,S 55 L AMG,"","","",2,l_km_consumption
SUV / Geländewagen,Grey,Occasion,"",Schaltgetriebe,Zuzwil,"",Land Rover,1989,151300,"",RANGE ROVER,3.5,"","","",3,null
Limousine,Green,Occasion,"",Automat stufenlos,Zuzwil,"",Lexus,2006,34000,"",GS,GS 450h,"","","",7,l_km_consumption
Kombi,Green,Occasion,"",Automat,Zuzwil,"",Audi,2008,42500,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",10,l_km_consumption
SUV / Geländewagen,Beige,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2000,40500,"",X5,X5 4.4i,"","","",11,l_km_consumption
Coupé,Green,Occasion,"",Schaltgetriebe,Zuzwil,"",Porsche,2007,34000,"",911,Turbo,"","","",2,null
Cabriolet,Green,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,33400,"",SL 55 AMG,SL 55 AMG,"","","",5,l_km_consumption
Coupé,Orange,Occasion,"",Schaltgetriebe,Zuzwil,"",Alfa Romeo,1984,584,"",GTV,6 2.5,"","","",6,null
Limousine,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Mercedes-benz,1997,118200,"",C 180,C 180 Esprit,"","","",11,l_km_consumption
Coupé,Black,Neu,"",Automatik-Getriebe,Zuzwil,"",Audi,2007,500,"",R8,R8 Coupé 4.2,"","","",10,l_km_consumption
Coupé,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,29500,"",CL 600,CL 600,"","","",12,l_km_consumption
Coupé,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2005,26400,"",SLR,McLaren Coupé,"","","",1,null
Cabriolet,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,1991,98000,"",SL 500,6.0 AMG,"","","",3,null
Limousine,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,128800,"",S 600,S 600 L,"","","",6,l_km_consumption
Kombi,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2002,144100,"",RS6,RS6 Avant quattro,"","","",8,l_km_consumption
Limousine,Silver,Occasion,"",Automat,Zuzwil,"",Bentley,2003,57000,"",ARNAGE,Arnage T,"","","",12,null
Limousine,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",VW,2009,33500,"",JETTA,Jetta 2.0 TDI Comfort,"","","",3,l_km_consumption
Cabriolet,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1996,27600,"",SL 500,SL 500,"","","",10,l_km_consumption
Kleinwagen,White,Occasion,"",Schaltgetriebe,Zuzwil,"",Autobianchi,1974,9999,"",A112,Abarth Serie II,"","","",6,null
Coupé,White,Occasion,"",Automat,Zuzwil,"",Bentley,2004,79700,"",CONTINENTAL,Continental GT 6.0,"","","",7,l_km_consumption
Coupé,White,Occasion,"",Schaltgetriebe,Zuzwil,"",Jaguar,1996,25000,"",XJ 220,null,"","","",5,null
Kombi,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2002,47600,"",RS6,RS6 Avant quattro,"","","",7,l_km_consumption
Coupé,Purple,Oldtimer,"",Schaltgetriebe,Zuzwil,"",Mercedes-benz,1939,1,"","",170V B Cabrio 136,"","","",7,null
