carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Kombi,Other,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2008,25400,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",7,l_km_consumption
Cabriolet,Bronze,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,2008,22800,"",Z4,Z4 2.5i Roadster,"","","",9,l_km_consumption
Coupé,Yellow,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ferrari,1999,49000,"",456,456M GT,"","","",5,l_km_consumption
Cabriolet,Gold,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2008,78900,"",M3,M3,"","","",7,l_km_consumption
Kombi,Grey,Occasion,"",Automat,Zuzwil,"",Audi,2008,24600,"",RS6,RS6 Avant 5.0 V10 quattro MTM,"","","",9,l_km_consumption
Cabriolet,Other,Occasion,"",Automat,Zuzwil,"",Porsche,1998,89500,"",911,911 Carrera,"","","",7,l_km_consumption
Wohnkabine,Other,Occasion,"",Schaltgetriebe,Zuzwil,"",Giottiline,2014,200,"","",Therry T22,"","","",4,null
SUV / Geländewagen,Grey,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2003,59900,"",CAYENNE,Cayenne S,"","","",3,l_km_consumption
Cabriolet,Green,Occasion,"",Automat sequentiell,Zuzwil,"",Aston Martin,2010,71300,"",DBS,DBS Volante,"","","",4,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Porrentruy,"",Lamborghini,2011,7890,"",MURCIÉLAGO,Murciélago LP640-4 Cpé,"","","",4,l_km_consumption
Kombi,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Audi,2004,66100,"",A4,A4 Avant 3.0 V6 quattro,"","","",7,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1995,56500,"",SL 500,SL 500,"","","",1,null
Coupé,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,1999,26200,"",F360,F360 Modena Berlinetta,"","","",10,l_km_consumption
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Bentley,2007,28000,"",CONTINENTAL,Continental FlyingSpur6.0,"","","",2,l_km_consumption
Coupé,Black,Occasion,"",null,Zuzwil,"",BMW,1982,64700,"",323,E21,"","","",9,l_km_consumption
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1997,58000,"",S 320,S 320,"","","",8,l_km_consumption
Limousine,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Rolls-royce,1988,73800,"",Silver Spur,null,"","","",9,null
Coupé,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Maserati,2009,8700,"",GRANTURISMO,GranTurismo,"","","",12,l_km_consumption
Coupé,Blue,Occasion,"",Schaltgetriebe,Zuzwil,"",Ford,1971,64600,"",CAPRI,RS 2600,"","","",5,null
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",Jaguar,1999,69200,"",S-TYPE,S-Type 4.0 V8,"","","",5,l_km_consumption
Limousine,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1998,48500,"",E 430,E 430 Avantgarde,"","","",6,l_km_consumption
SUV / Geländewagen,Silver,Occasion,"",Automat,Zuzwil,"",Porsche,2008,21000,"",CAYENNE,Cayenne Turbo,"","","",4,l_km_consumption
Limousine,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,2006,108200,"",RS4,RS4 4.2 V8 quattro,"","","",5,l_km_consumption
Coupé,Silver,Occasion,"",Automat,St. Gallen,"",Bentley,2015,5000,"",CONTINENTAL,Continental GT Speed 6.0,"","","",9,l_km_consumption
Limousine,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2004,49000,"",A8,A8  6.0 quattro,"","","",7,l_km_consumption
Limousine,Grey,Occasion,"",Schaltgetriebe,Zuzwil,"",BMW,1982,238500,"",323,323i,"","","",4,null
Limousine,Green,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,1996,72000,"","",E 60 Carlsson,"","","",11,null
Limousine,Green,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2005,16660,"","",CLK DTM AMG,"","","",8,null
Coupé,Red,Oldtimer,"",Schaltgetriebe manuell,Zuzwil,"",Marcos,1968,85000,"","",1600 GT,"","","",4,null
Coupé,Red,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,2004,28000,"",575M,575M,"","","",1,l_km_consumption
Coupé,Red,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,2001,127800,"",M3,M3,"","","",9,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Sursee,"",Ferrari,1989,7000,"",F40 / F50,null,"","","",2,null
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2010,7400,"",E 63 AMG,E 63 AMG,"","","",3,l_km_consumption
Kombi,Black,Occasion,"",Automat,Zuzwil,"",Audi,2009,29500,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",3,l_km_consumption
Cabriolet,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,2007,77500,"",335,335i,"","","",7,l_km_consumption
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",BMW-alpina,2012,4950,"",5 SERIES,B5 BiTurbo 4.4 V8,"","","",6,l_km_consumption
Sattelschlepper,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Mercedes-benz,1996,65400,"",600-SERIES,611 DS,"","","",4,null
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2000,51000,"",SL 500,SL 500 Edition,"","","",4,l_km_consumption
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2010,13200,"",S 63 AMG,S 63 AMG,"","","",6,l_km_consumption
Limousine,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Fiat,1980,80000,"",131,Racing / Sport,"","","",5,null
Coupé,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2001,82100,"",911,911 Turbo,"","","",2,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Renault,1981,139200,"",ALPINE,Alpine A310 V6,"","","",12,null
Cabriolet,Silver,Occasion,"",Automat,Zuzwil,"",Rolls-royce,2002,42000,"",CORNICHE,Corniche,"","","",6,l_km_consumption
Cabriolet,Silver,Occasion,"",Automat,Zuzwil,"",Aston Martin,2004,29000,"",DB7,DB7 Vantage Volante,"","","",4,l_km_consumption
Kombi,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1997,126000,"",E 230,E 230 Elégance,"","","",5,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Porsche,1983,134000,"",911,SC 3.0,"","","",4,null
Coupé,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,1973,75700,"",Alpine A110,1300,"","","",0,null
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2009,33000,"",911,911 Turbo,"","","",3,l_km_consumption
Limousine,Purple,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Mitsubishi,2003,35200,"",LANCER,Lancer Evo VII,"","","",7,null
Kombi,Other,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2003,27900,"",RS6,RS6 Avant quattro,"","","",7,l_km_consumption
Limousine,Yellow,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2005,3000,"",M5,M5,"","","",4,l_km_consumption
Coupé,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2006,19800,"",CL 65 AMG,CL 65 AMG,"","","",1,l_km_consumption
Cabriolet,Grey,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,6000,"",SL 55 AMG,SL 55 AMG,"","","",6,l_km_consumption
Coupé,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1978,51000,"",924,null,"","","",4,null
Coupé,Grey,Oldtimer,"",Schaltgetriebe,Zuzwil,"",Ford,1927,1,"","",T - Roadster,"","","",1,null
Limousine,Grey,Occasion,"",Automat,Zuzwil,"",BMW,1995,89200,"",740,740i,"","","",11,null
Cabriolet,Other,Occasion,"",Automatik-Getriebe,Zuzwil,"",Lamborghini,2006,16200,"",MURCIÉLAGO,Murciélago 6.2 Roadster,"","","",1,l_km_consumption
Coupé,Green,Occasion,"",Automat,Zuzwil,"",Ferrari,1999,92000,"",456,456M GTA,"","","",8,l_km_consumption
Coupé,Green,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2001,50200,"",CL 55 AMG,CL 55 AMG,"","","",3,l_km_consumption
Cabriolet,Red,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Porsche,2014,9900,"",911,911 Turbo S Cabrio,"","","",4,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1995,75200,"",SL 600,SL 600,"","","",9,null
SUV / Geländewagen,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Opel,2001,153900,"",FRONTERA,Frontera 3.2i V6 Limited,"","","",5,l_km_consumption
Cabriolet,Black,Vorführmodell,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2007,300,"",SLK 200,SLK 200 Kompressor,"","","",10,l_km_consumption
Coupé,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2006,15100,"",CL 500,CL 500,"","","",9,l_km_consumption
Coupé,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,137000,"",CL 600,CL 600,"","","",2,l_km_consumption
Cabriolet,Silver,Occasion,"",null,Sursee,"",Mercedes-benz,1971,500,"",280,3.5 V8 Cabrio,"","","",2,null
Coupé,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Wiesmann,2008,34600,"",COUPE,GT MF5,"","","",7,l_km_consumption
Coupé,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2000,79500,"",CLK 55 AMG,CLK 55 AMG Avantgarde,"","","",6,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2000,77000,"",911,911 GT3,"","","",1,l_km_consumption
Limousine,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Maserati,2005,33500,"",QUATTROPORTE,Quattroporte 4.2,"","","",10,l_km_consumption
Cabriolet,Grey,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2002,1600,"",M3,M3,"","","",6,l_km_consumption
Cabriolet,Green,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,23700,"",CLK 55 AMG,CLK 55 AMG Avantgarde,"","","",12,l_km_consumption
SUV / Geländewagen,Red,Occasion,"",Automat sequentiell,Zuzwil,"",Land Rover,2003,90400,"",RANGE ROVER,Range Rover 4.4 V8 HSE,"","","",12,l_km_consumption
Limousine,Red,Occasion,"",Automatik-Getriebe,Zuzwil,"",Rolls-royce,1978,30900,"",Silver Shadow,II,"","","",6,null
Limousine,Red,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,2000,99,"",CLIO,Rennwagen,"","","",2,null
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Renault,1980,108000,"",ALPINE,Alpine A310 V6,"","","",4,null
Limousine,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,1971,145100,"",300,SEL 3.5,"","","",5,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Opel,1982,60990,"",MANTA,400 Breitbau,"","","",7,null
Limousine,Black,Occasion,"",Automat,Zuzwil,"",BMW,1995,65400,"",740,740i,"","","",7,null
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Lamborghini,2003,13500,"",MURCIÉLAGO,Murciélago 6.2 Coupé,"","","",6,l_km_consumption
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Bentley,2001,21700,"",ARNAGE,Arnage Red Label,"","","",7,l_km_consumption
Coupé,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2004,36700,"",GALLARDO,Gallardo 5.0 V10 Coupé,"","","",7,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,32500,"",SL 55 AMG,SL 55 AMG,"","","",1,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2008,49600,"",G 55 AMG,G 55 AMG,"","","",1,l_km_consumption
Limousine,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",BMW,2002,125900,"",525,525i,"","","",2,l_km_consumption
Cabriolet,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2003,55800,"",F360,F360 Spider,"","","",2,l_km_consumption
SUV / Geländewagen,Silver,Neu,"",Automatik-Getriebe,Zuzwil,"",Porsche,2009,1,"",CAYENNE,Cayenne S,"","","",9,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ferrari,2000,28000,"",F360,F360 Modena Berlinetta,"","","",5,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2000,38200,"",911,911 Carrera 4,"","","",11,l_km_consumption
Cabriolet,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Audi,2005,49900,"",TT,TT Roadster 1.8 T,"","","",3,l_km_consumption
Limousine,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",BMW,1998,26200,"",728,728i,"","","",5,l_km_consumption
Coupé,Other,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1980,54000,"",924,Turbo,"","","",3,null
Cabriolet,Blue,Occasion,"",Automatisiertes Schaltgetriebe,Porrentruy,"",Ferrari,2007,53500,"",F430,F430 Spider,"","","",6,l_km_consumption
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",BMW,1998,78700,"",540,540i,"","","",11,l_km_consumption
Cabriolet,Blue,Occasion,"",Automat,Zuzwil,"",Porsche,2000,43400,"",BOXSTER,Boxster S 3.2,"","","",4,l_km_consumption
Coupé,Blue,Neu,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,2015,200,"",458,458 Italia 4.5 V8 Speciale,"","","",1,l_km_consumption
Coupé,Grey,Neu,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2015,300,"",HURACAN,Huracan LP610-4 Coupé,"","","",7,l_km_consumption
Coupé,Other,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2004,34500,"",SLR,730PS,"","","",6,null
Coupé,Grey,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2001,55900,"",CL 500,CL 500,"","","",11,l_km_consumption
Limousine,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2011,43000,"",S 250,S 250 CDI BlueEff SS,"","","",9,l_km_consumption
Limousine,Beige,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2007,46000,"",S 65 AMG,S 65 L / BRABUS T65 S,"","","",2,l_km_consumption
Kombi,Red,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2009,89000,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",3,l_km_consumption
Cabriolet,Red,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2004,14400,"",911,911 Turbo Cabrio,"","","",1,l_km_consumption
Kombi,Red,Occasion,"",Automatik-Getriebe,Zuzwil,"",Audi,1998,196300,"",A4,A4 Avant 2.8 q.Ambition,"","","",4,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2003,66800,"",X5,X5 4.4i,"","","",5,l_km_consumption
Limousine,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,1996,86100,"",535,535i,"","","",6,l_km_consumption
Cabriolet,Black,Occasion,"",Automatisiertes Schaltgetriebe,Porrentruy,"",Lamborghini,2014,1999,"",AVENTADOR,Aventador LP700-4 Rds,"","","",3,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2005,15300,"",SL 65 AMG,SL 65 AMG,"","","",3,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Porrentruy,"",Lamborghini,1999,45700,"",DIABLO,Diablo 5.7 SV,"","","",7,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Fiat,1978,115100,"",SPIDER,CSA,"","","",7,null
Cabriolet,Black,Occasion,"",null,Zuzwil,"",Mercedes-benz,2008,500,"","",CLK DTM AMG Cabriolet,"","","",6,null
Limousine,Silver,Occasion,"",Automat,Zuzwil,"",Bentley,1999,85700,"",ARNAGE,Arnage Green Label,"","","",6,l_km_consumption
Limousine,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Porsche,2010,57600,"",PANAMERA,Panamera 4S 4.8,"","","",11,l_km_consumption
Cabriolet,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2007,29800,"",SLR,McLaren,"","","",10,null
SUV / Geländewagen,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,87800,"",ML 400,ML 400 CDI,"","","",11,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2001,60800,"",911,911 Turbo,"","","",5,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Renault,1983,69000,"",ALPINE,Alpine A310 V6,"","","",3,null
Coupé,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Ford,1978,96600,"",ESCORT,RS 2000,"","","",3,null
Coupé,Silver,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,2000,75300,"","",6.7 BRABUS,"","","",2,null
Cabriolet,White,Vorführmodell,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Aston Martin,2010,9000,"",V8 Vantage,V8 Vantage 4.7,"","","",7,l_km_consumption
Limousine,White,Occasion,"",Schaltgetriebe,Zuzwil,"",De Tomaso,1974,68100,"",PANTERA,null,"","","",9,null
Coupé,White,Occasion,"",Automat,Zuzwil,"",Porsche,2008,73500,"",911,911 Turbo,"","","",2,l_km_consumption
Limousine,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2011,31400,"",CLS 63 AMG,CLS 63 AMG,"","","",5,l_km_consumption
Limousine,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2004,62000,"",A6,A6 4.2 V8 quattro,"","","",3,l_km_consumption
Cabriolet,Other,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,16500,"",SL 55 AMG,SL 55 AMG,"","","",6,l_km_consumption
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1996,139900,"",911,911 Carrera 4S,"","","",3,l_km_consumption
Limousine,Grey,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1998,128800,"",S 500,S 500 L,"","","",6,l_km_consumption
Coupé,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Talbot,1982,182200,"",MATRA,Murena 2.2,"","","",4,null
SUV / Geländewagen,Green,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2007,13300,"",ML 63 AMG,ML 63 AMG 4Matic,"","","",3,l_km_consumption
Coupé,Green,Occasion,"",Automatik-Getriebe,Zuzwil,"",BMW,1977,128600,"",633,CSI A,"","","",1,null
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1999,70900,"",SL 320,SL 320,"","","",1,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1992,52500,"",SL 600,SL 600,"","","",9,null
Limousine,Black,Occasion,"",Automat,Zuzwil,"",BMW,2009,45000,"",750,750i xDrive,"","","",10,l_km_consumption
Cabriolet,Black,Occasion,"",Schaltgetriebe manuell,Porrentruy,"",Lamborghini,1998,13960,"",DIABLO,Diablo 5.7 VT Roadster,"","","",5,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Automat,Zuzwil,"",Porsche,2008,18200,"",CAYENNE,Cayenne Turbo,"","","",4,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Porsche,2008,16500,"",CAYENNE,Cayenne Turbo,"","","",5,l_km_consumption
Coupé,Black,Occasion,"",Automat,Zuzwil,"",BMW-alpina,1997,99400,"",3 SERIES,B3 3.2 Coupé S.Tronic,"","","",2,l_km_consumption
Limousine,Black,Occasion,"",Automat,Zuzwil,"",BMW,1996,141000,"",540,540i,"","","",7,l_km_consumption
Kombi,Black,Vorführmodell,"",Automatik-Getriebe,Zuzwil,"",BMW,1997,112300,"",523,523i Touring,"","","",9,l_km_consumption
Limousine,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2010,110800,"",S 350,S 350 L 4Matic,"","","",1,l_km_consumption
Cabriolet,Other,Occasion,"",Automat sequentiell,Zuzwil,"",Aston Martin,2005,31800,"",DB9,DB9 Volante,"","","",11,l_km_consumption
Coupé,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,1999,29000,"",F355,F355 Berlinetta,"","","",5,l_km_consumption
Kombi,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2002,46900,"",RS6,RS6 Avant quattro,"","","",10,l_km_consumption
Cabriolet,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,48200,"",SL 55 AMG,SL 55 AMG,"","","",3,l_km_consumption
Coupé,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",Maserati,2003,61400,"",COUPÉ GT,Coupé GT,"","","",8,l_km_consumption
Limousine,White,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,2009,110600,"",320,320d xDrive M-Sportpaket,"","","",2,l_km_consumption
Kompaktvan / Minivan,White,Occasion,"",Automatik-Getriebe,Zuzwil,"",Renault,2004,145000,"",ESPACE,Espace 2.0 T Privilège,"","","",3,l_km_consumption
Cabriolet,White,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2006,29800,"",911,911 Carrera S Cabrio,"","","",8,l_km_consumption
Limousine,Purple,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2004,60000,"",A8,A8 4.2 quattro,"","","",4,l_km_consumption
SUV / Geländewagen,Yellow,Occasion,"",Automat,Zuzwil,"",Porsche,2006,91600,"",CAYENNE,Cayenne Turbo S,"","","",9,l_km_consumption
Cabriolet,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Mazda,1989,67200,"",RX-7,RX-7 2.6 Turbo II,"","","",8,null
Kombi,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2008,41900,"",RS6,RS6 Avant 5.0 V10 quattro,"","","",10,l_km_consumption
Limousine,Grey,Occasion,"",Automat,Zuzwil,"",Jaguar,2002,32900,"",S-TYPE,S-Type 4.2 V8 S/C R,"","","",7,l_km_consumption
Cabriolet,Grey,Occasion,"",Automatik-Getriebe,Zuzwil,"",Maserati,2002,63000,"",SPYDER GT,Spyder GT,"","","",5,l_km_consumption
Limousine,Grey,Occasion,"",Schaltgetriebe,Zuzwil,"",VW,2000,1,"",BEETLE,New Beetle Cup,"","","",9,null
Coupé,Grey,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1996,91000,"",911,911 Carrera RS Clubsport/993 GT2,"","","",4,null
Limousine,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2006,130000,"",S 65 AMG,S 65 AMG L,"","","",9,l_km_consumption
Kombi,Green,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1997,44000,"",E 420,E 420 Elégance,"","","",10,l_km_consumption
Coupé,Green,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,2002,77600,"",911,911 Turbo,"","","",2,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,1983,128500,"",ALPINE,V6,"","","",8,null
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Lamborghini,2000,20600,"",DIABLO,Diablo 5.7,"","","",12,null
SUV / Geländewagen,Black,Occasion,"","Automat stufenlos, sequentiell",Zuzwil,"",Nissan,2005,54500,"",MURANO,Murano 3.5 V6,"","","",10,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Toyota,1983,54100,"",CELICA,Celica 2800 i Supra,"","","",3,null
Coupé,Black,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2009,9500,"",MURCIÉLAGO,Murciélago LP670-4 SV Cpé,"","","",7,l_km_consumption
Cabriolet,Blue,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2012,19999,"",SL 63 AMG,SL 63 AMG,"","","",3,l_km_consumption
Limousine,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Lancia,1993,131000,"",DELTA,Delta HF Integrale Evo 4V,"","","",12,null
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1991,101300,"",911,911 Turbo II,"","","",8,null
Limousine,Blue,Occasion,"",Automat,Zuzwil,"",Audi,2003,26700,"",A8,A8 4.2 quattro,"","","",1,l_km_consumption
Limousine,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",BMW,2012,19000,"",M5,M5,"","","",3,l_km_consumption
Coupé,Silver,Vorführmodell,"",Schaltgetriebe manuell,Zuzwil,"",BMW,2011,10900,"",Z4,Z4 M Coupé,"","","",8,l_km_consumption
Coupé,Blue,Occasion,"",Automatisiertes Schaltgetriebe,Porrentruy,"",Ferrari,2003,42500,"",F360,F360 Modena Berlinetta,"","","",11,l_km_consumption
Limousine,Purple,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2000,99900,"",S 500,S 500,"","","",5,l_km_consumption
Limousine,Yellow,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2001,42000,"",S 400,S 400 CDI,"","","",4,l_km_consumption
Coupé,Grey,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,1977,41400,"",Alpine A110,1600 SX,"","","",6,null
SUV / Geländewagen,Grey,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2001,113000,"",X5,X5 4.4i,"","","",1,l_km_consumption
Cabriolet,Grey,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1996,55200,"",SL 500,SL 500 Special Edition,"","","",4,null
Coupé,Grey,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2009,24000,"",GALLARDO,Gallardo LP560-4 Coupé,"","","",1,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Renault,1979,36900,"",ALPINE,2700VA,"","","",8,null
Kombi,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,1996,79800,"",320,320i Touring,"","","",1,l_km_consumption
Limousine,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,1987,88000,"",M3,M3,"","","",10,null
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Daimler,1998,100,"",V8,V8 4.0,"","","",5,l_km_consumption
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Porrentruy,"",Lamborghini,1993,49500,"",DIABLO,Diablo 5.7,"","","",4,null
Cabriolet,Blue,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2003,59300,"",SL 55 AMG,SL 55 AMG,"","","",2,l_km_consumption
